Mall Name,Mall Category,Star Rating,Ratings,Location
Dubai Mall,Mall,4.8,247 ratings,"3,Mohammed Bin Rashid Boulevard, Za'abeel 2, Za'abeel, Dubai"
Mall of the Emirates,Shopping centers / Malls,4.6,905 ratings,"783,Sheikh Zayed Road, Al Barsha 1, Hadaeq Mohammed Bin Rashid, Dubai"
Dubai Hills,Mall,5,11 ratings,"999,Umm Suqeim Street, Hadaeq Sheikh Mohammed Bin Rashid, Hadaeq Mohammed Bin Rashid, Dubai"
The Circle Mall,Shopping centers / Malls,3.8,9 ratings,"17/1,5 Street, JVC District 11, Al Barsha South 4, Hadaeq Mohammed Bin Rashid, Dubai"
Dubai Marina,Mall,4.7,311 ratings,"70,Al Marsa Street, Marsa Dubai, Dubai"
Mirdif City Center,Shopping centers / Malls,3.7,78 ratings,"70,Sheikh Mohammed Bin Zayed Road, Mirdif, Mushraif, Dubai"
Al Khail,Mall,4.8,17 ratings,"13/1,Latifa Bint Hamdan Street, Al Qouz 4, Al Qouz, Dubai"
Al Quoz Mall,Shopping centers / Malls,3.8,15 ratings,"53,22 Street, Al Qouz Industrial Area 3, Al Qouz, Dubai"
Dragon Mart,Shopping center,3.8,240 ratings,"1a,Al Awir Road, Warsan 1, International City, Dubai"
Dubai Festival City Mall,Shopping centers / Malls,4.6,19 ratings,"9,Crescent Drive Street, Dubai Festival City, Dubai Festival City, Dubai"
Burjuman,Mall,4.5,48 ratings,"2,28a Street, Al Mankhool, Bur Dubai, Dubai"
Deira City Centre,Mall,4.6,179 ratings,"1b,30 Street, Port Saeed, Deira, Dubai"
Al Ghurair Centre,Shopping centers / Malls,4.7,29 ratings,"3,Al Rigga Road, Al Muraqqabat, Deira, Dubai"
Grand City Mall,Shopping centers / Malls,4.4,8 ratings,"80,Al Marabea' Street, Al Qouz Industrial Area 4, Al Qouz, Dubai"
Sahara,Centre,4.3,106 ratings,"19,Al Nahda Street, Al Nahda, Al Nahdah, Sharjah"
Al Barsha Mall,Shopping centers / Malls,3.7,68 ratings,"98,Al Barsha 2 Street, Al Barsha 2, Hadaeq Mohammed Bin Rashid, Dubai"
Ibn Battuta Mall,Shopping centers / Malls,4.6,286 ratings,"1,Abraj Al Mina Street, Jabal Ali 1, Jebel Ali, Dubai"
City Centre Sharjah,Shopping centers / Malls,4.1,69 ratings,"247,Al Wahda Street, Al Nahdha, Sharjah Industrial Area, Sharjah"
Karama,Center,4.4,7 ratings,"22,Kuwait Street, Al Karama, Dubai"
Oasis Mall,Shopping centers / Malls,3.7,62 ratings,"2,43a Street, Al Qouz 1, Al Qouz, Dubai2branches"
Dubai Outlet Mall,Shopping centers / Malls,3.9,138 ratings,"60,Dubai Al Ain Road, Madinat Hind 1, Dubai"
Wafi Mall,Shopping centers / Malls,3.9,15 ratings,"4,Sheikh Rashid Road, Umm Hurair 2, Dubai"
Nakheel Mall,Shopping centers / Malls,3.6,8 ratings,"10/2,Palm Jumeirah Road, The Palm Jumeirah, The Palm Jumeirah, Dubai"
Mercato Mall,Shopping centers / Malls,4.4,154 ratings,"171,Jumeirah Road, Jumeirah 1, Jumeirah, Dubai"
Reef Mall,Shopping centers / Malls,4.5,8 ratings,"114,Salah Al Din Road, Al Muraqqabat, Deira, Dubai"
Rolla Mall,Shopping centers / Malls,4.4,10 ratings,"4,Khalid Bin Al Waleed Street, Al Ghuwair, Al Gharb, Sharjah"
Silicon Central,Shopping center,4.6,2 ratings,"53,92 Street, Nadd Hessa, Dubai Silicon Oasis, Dubai"
Madina Mall,Shopping centers / Malls,3.7,38 ratings,"148,Beirut Street, Muhaisnah 4, Deira, Dubai"
Souk Madinat Jumeirah,Shopping centers / Malls,4.5,104 ratings,"2/1,King Salman Bin Abdulaziz Al Saud Street, Al Sufouh 1, Al Sufouh, Dubai2branches"
Mega Mall,Shopping centers / Malls,3.8,54 ratings,"5,Abu Obiedah Bin Al Jarah Street, Bu Daniq, Al Qasimiah, Sharjah"
Uptown Mirdiff,Mall,4.9,29 ratings,"2,47 Street, Uptown Mirdif, Mirdif, Mushraif, Dubai"
Bin Shabib Mall,Shopping centers / Malls,2.8,6 ratings,"87a,Baghdad Street, Al Qusais Industrial 1, Deira, Dubai"
Bay Avenue,Mall,4.9,2 ratings,"133,Al Mustaqbal Street, Business Bay, Business Bay, Dubai"
Arabian Center Mall,Shopping centers / Malls,4,123 ratings,"2,Al Khawaneej Road, Al Mizhar 1, Mushraif, Dubai"
Safari Mall,Shopping centers / Malls,4.7,12 ratings,"100b,Sheikh Khalifa Bin Zayed Al Nahyan Street, Muwaileh Commercial, Muwaileh, Sharjah"
Times Square Center,Shopping centers / Malls,3.6,53 ratings,"58,6 Street, Al Qouz Industrial Area 1, Al Qouz, Dubai"
Century Mall,Shopping centers / Malls,4.7,3 ratings,"85,Al Wuheida Road, Al Mamzar, Deira, Dubai2branches"
City Centre Al Zahia,Mall,4.8,13 ratings,"100a,Sheikh Mohammad Bin Zayed Road, Muwaileh Commercial, Muwaileh, Sharjah"
Ansar Mall,Shopping centers / Malls,3.6,19 ratings,"16,New Al Taawun Road, Al Nahda, Al Nahdah, Sharjah3branches"
Dragon Mart 2,Shopping center,4.4,6 ratings,"1c,Al Awir Road, Warsan 1, International City, Dubai"
Bin Sougat Centre,Shopping centers / Malls,3.7,31 ratings,"24/2,12 Street, Al Rashidiya, Deira, Dubai"
Al Mulla Plaza,Shopping center,3.2,14 ratings,"4,Al Ittihad Road, Al Nahda 1, Deira, Dubai"
Etihad Mall,Shopping centers / Malls,4,33 ratings,"41,Al Khawaneej Road, Muhaisnah 1, Mushraif, Dubai"
Souk Al Bahar,Shopping centers / Malls,4.2,5 ratings,"31,Mohammed Bin Rashid Boulevard, Burj Khalifa/Downtown Dubai, Dubai"
Al Khaleej Ð¡entre,Shopping centers / Malls,4.8,1 rating,"26,26 Street, Al Raffa, Bur Dubai, Dubai"
Abu Hail,Shopping center,4.9,3 ratings,"257-261,Bu Hail Road, Hor Al Anz East, Deira, Dubai"
Mazaya Center,Shopping centers / Malls,3.5,13 ratings,"160,Sheikh Zayed Road, Al Wasl, Al Wasl, Dubai"
BOXPARK,Shopping centers / Malls,4.5,113 ratings,"M1-11,Al Wasl Road, Al Wasl, Al Wasl, Dubai"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
